country_name,country_code,series_name,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022,yr2023,region
Cayman Islands,CYM,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean
Bermuda,BMU,GDP per capita (constant 2015 US$),118193.148720988,119396.449407765,125294.959387025,128757.880688002,125610.033442692,117886.737990193,115839.79601113,112471.34754245,106119.795030798,105492.480708055,101374.469787793,102005.62564189,102407.394383438,107237.031768386,106697.737486296,107036.239271085,99739.9798806056,105357.701237429,112431.384133779,,North America
Bermuda,BMU,"Employment to population ratio, 15+, total (%) (national estimate)",,,,,,69.75,70.129,,,,,,,,,,,,,,North America
Bermuda,BMU,GDP growth (annual %),2.32126722323136,1.67420611410508,5.5438663804406,3.34513970877607,-1.86595582635186,-5.6266977105161,-2.50287828947368,-3.74274431740703,-5.30529910675297,-0.279708545423034,-3.70106759364258,0.775529699568978,-0.657206304259205,3.61141983706115,-0.432801300339307,0.306266735233933,-6.84286964270544,5.41909484048358,6.43113399633694,,North America
Bermuda,BMU,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,North America
Bermuda,BMU,Research and development expenditure (% of GDP),,,,0.160260006785393,0.1684799939394,0.182349994778633,0.180500000715256,0.261949986219406,0.233549997210503,0.196299999952316,0.190830007195473,0.195069998502731,,,0.22851000726223,0.264510005712509,0.22545999288559,,,,North America
Bermuda,BMU,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,North America
Cayman Islands,CYM,GDP per capita (constant 2015 US$),,,96176.301897316,96280.2483371848,93166.3167746731,84026.9727715813,79519.843769806,78393.736284355,77448.5098255613,76617.5433740014,76872.5809178913,77295.8456647776,78077.4336532717,78883.2820823737,80597.7086377604,82170.5930267913,76733.5560519709,79522.6108085869,82929.3037994227,,Latin America & Caribbean
Cayman Islands,CYM,"Employment to population ratio, 15+, total (%) (national estimate)",,81.01,80.97,78.86,80.75,79.09,76.3,75.32,78.49,77.84,78.76,79.28,,,,,,,,,Latin America & Caribbean
Cayman Islands,CYM,GDP growth (annual %),,,,3.16262533840754,-0.357401372925935,-7.20048278238133,-2.71563682344265,1.16906269526342,1.22975368307725,1.2793305928175,2.65452932151371,2.83312242670048,3.23997361448569,3.18404730726789,4.26726567162505,3.91563637725301,-4.95480732200573,4.90492954210123,5.15632991974057,,Latin America & Caribbean
Cayman Islands,CYM,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean
Cayman Islands,CYM,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean
Ireland,IRL,GDP per capita (constant 2015 US$),48081.9681057103,49746.0564580724,50838.0767607578,52012.0454125255,48677.2171989662,45729.9032271479,46246.8450864429,46635.3445852272,46377.9216861489,46676.2584933487,50427.3296736031,62179.2642662951,62566.7978369816,67652.0199199883,72478.8382398373,75281.9215322169,79441.7086843532,90589.1967310069,97316.8775085729,91783.4370132598,Europe & Central Asia
Ireland,IRL,"Employment to population ratio, 15+, total (%) (national estimate)",57.369,58.862,60.009,63.307,61.472,56.006,53.502,52.449,52.114,53.453,54.431,55.691,56.971,57.818,58.594,59.253,57.684,59.587,61.728,62.681,Europe & Central Asia
